date,shipment_id,hs_code,industry,product_description,buyer_country,destination_port,buyer,seller_country,seller,origin_port,unit,quantity,valueusd,unit_price,_derived_value_calc,_value_mismatch,Seller Group,Buyer Group,Normalized_Model_Internal,Match_Score,Spare / Unit / Others,Unit_Normalized,Manufacturer,Model,type,Extracted_Condition,Product,Category,Type,Seller_Type,Buyer_Type,product,Relevancy,relevancy_confidence,calc_value,value_diff_pct,shipment_type
2025-03-26,6305463047,72052990.0,Iron and Steel,FERROSAD F16 20=70:30 STEEL SHOT (S460) (FREE OF CHARGE) FERROSAD F16 20=70:30 STEEL SHOT (S460),INDIA,NHAVA SHEVA SEA (INNSA1),METATECH ENTERPRISES,GERMANY,METALLTECHNIK SCHMIDT GMBH,HAMBURG,MTS,6.0,,0.0,,False,,METATECH ENTERPRISES,S460,66.42,Others,mts,METALLTECHNIK SCHMIDT GMBH,S460,Old,Old,Steel Shot,Shots,High Carbon,Trader,End Customer,Steel Shot,Relevant,0.6958,0.0,,Unknown
2019-05-08,0508201925826818,72052990.0,Iron and Steel,STEEL SHOT S280 FERROBEADS (),INDIA,NHAVA SHEVA SEA (INNSA1),METATECH ENTERPRISES,GERMANY,METALLTECHNIK SCHMIDT GMBH,,MTS,0.0,,0.0,,False,,METATECH ENTERPRISES,S280,66.42,Others,mts,METALLTECHNIK SCHMIDT GMBH,S280,Old,Old,Steel Shot,Shots,High Carbon,Trader,End Customer,Steel Shot,Irrelevant,0.4856,0.0,,Unknown
2019-04-15,TATU97838700,,,STEEL SHOT S550STEEL SHOT S460STEEL SHOT S390STEEL SHOT S330,INDIA,,AIRBLAST EQUIPMENT INDIA PRIVATE LIMITED,CHINA,SHANDONG ZHONGXING METAL PRODUCTS CO LTD,QINGDAO,MTS,101.0,,0.0,,False,,AIRBLAST EQUIPMENT INDIA PRIVATE LIMITED,S550STEEL,71.33,Others,mts,SHANDONG ZHONGXING METAL PRODUCTS CO LTD,S550STEEL,Old,Old,Steel Shot,Shots,High Carbon,Trader,End Customer,Steel Shot,Irrelevant,0.4793,0.0,,Unknown
2020-10-09,TATU27838700,,,STEEL SHOT S550STEEL SHOT S460STEEL SHOT S390STEEL SHOT S330,INDIA,MADRAS (INMAA),AIRBLAST EQUIPMENT INDIA PRIVATE LIMITED,CHINA,SHANDONG ZHONGXING METAL PRODUCTS CO LTD,QINGDAO,MTS,101.0,,0.0,,False,,AIRBLAST EQUIPMENT INDIA PRIVATE LIMITED,S550STEEL,71.33,Others,mts,SHANDONG ZHONGXING METAL PRODUCTS CO LTD,S550STEEL,Old,Old,Steel Shot,Shots,High Carbon,Trader,End Customer,Steel Shot,Irrelevant,0.4793,0.0,,Unknown
2021-09-09,TATU97878700,,,STEEL SHOT S550STEEL SHOT S460STEEL SHOT S390STEEL SHOT S330,INDIA,,AIRBLAST EQUIPMENT INDIA PRIVATE LIMITED,CHINA,SHANDONG ZHONGXING METAL PRODUCTS CO LTD,,MTS,101.0,,0.0,,False,,AIRBLAST EQUIPMENT INDIA PRIVATE LIMITED,S550STEEL,71.33,Others,mts,SHANDONG ZHONGXING METAL PRODUCTS CO LTD,S550STEEL,Old,Old,Steel Shot,Shots,High Carbon,Trader,End Customer,Steel Shot,Irrelevant,0.4793,0.0,,Unknown
2022-02-21,TATU378B8700,,,STEEL SHOT S550STEEL SHOT S460STEEL SHOT S390STEEL SHOT S330,INDIA,MADRAS (INMAA),AIRBLAST EQUIPMENT INDIA PRIVATE LIMITED,CHINA,SHANDONG ZHONGXING METAL PRODUCTS CO LTD,QINGDAO,MTS,131.0,,0.0,,False,,AIRBLAST EQUIPMENT INDIA PRIVATE LIMITED,S550STEEL,71.33,Others,mts,SHANDONG ZHONGXING METAL PRODUCTS CO LTD,S550STEEL,Old,Old,Steel Shot,Shots,High Carbon,Trader,End Customer,Steel Shot,Irrelevant,0.4774,0.0,,Unknown
2023-10-14,9455779436,72026000.0,Iron and Steel,SLN25 FERRO-NICKEL IN SHOT FORM IN BULK (CONTENT :NI-21.58%)(FOR USE IN THE MFG. OF STAINLESS STEEL COILS),INDIA,GARHI HARSARU - GURGAON ICD (INGHR6),JINDAL STAINLESS LIMITED,FRANCE,ERAMET SA,NOUMEA,MTS,100.0,1418463.0,14174.0,1417400.0,True,,JINDAL STAINLESS LIMITED,SLN25,65.58,Others,mts,ERAMET SA,SLN25,Old,Old,Steel Shot,Shots,Stainless Steel,Trader,End Customer,Steel Shot,Irrelevant,0.3232,1417400.0,0.0007494026985547033,Unknown
2023-09-17,3462722208,72026000.0,Iron and Steel,SLN25 FERRO NICKEL IN SHOT FORM IN BULK (CONTENT :NI-24.08%)(FOR USE IN THE MFG. OF STAINLESS STEEL COILS),INDIA,GARHI HARSARU - GURGAON ICD (INGHR6),JINDAL STAINLESS LIMITED,FRANCE,ERAMET SA,NOUMEA,MTS,101.0,1356247.0,13382.74,1351656.74,True,,JINDAL STAINLESS LIMITED,SLN25,65.58,Others,mts,ERAMET SA,SLN25,Old,Old,Steel Shot,Shots,Stainless Steel,Trader,End Customer,Steel Shot,Irrelevant,0.2018,1351656.74,0.003384530988824314,Unknown
2023-07-10,9455763678,72026000.0,Iron and Steel,SLN25 FERRO NICKEL IN SHOT FORM IN BULK (CONTENT :NI-22.80%)(FOR USE IN THE MFG. OF STAINLESS STEEL COILS),INDIA,GARHI HARSARU - GURGAON ICD (INGHR6),JINDAL STAINLESS LIMITED,FRANCE,ERAMET SA,NOUMEA,MTS,100.0,1339023.0,13382.74,1338274.0,True,,JINDAL STAINLESS LIMITED,SLN25,65.58,Others,mts,ERAMET SA,SLN25,Old,Old,Steel Shot,Shots,Stainless Steel,Trader,End Customer,Steel Shot,Irrelevant,0.3483,1338274.0,0.0005593630579907888,Unknown
2023-06-27,8498544274,72026000.0,Iron and Steel,SLN25 FERRO NICKEL IN SHOT FORM IN BULK (CONTENT :NI-21.57%)(FOR USE IN THE MFG. OF STAINLESS STEEL COILS),INDIA,GARHI HARSARU - GURGAON ICD (INGHR6),JINDAL STAINLESS LIMITED,FRANCE,ERAMET SA,NOUMEA,MTS,50.0,794829.0,15888.0,794400.0,True,,JINDAL STAINLESS LIMITED,SLN25,65.58,Others,mts,ERAMET SA,SLN25,Old,Old,Steel Shot,Shots,Stainless Steel,Trader,End Customer,Steel Shot,Irrelevant,0.3456,794400.0,0.0005397387362564778,Unknown
