DATE,SHIPMENT ID,HS CODE,INDUSTRY,PRODUCT DESCRIPTION,BUYER COUNTRY,BUYER,DESTINATION PORT,SELLER COUNTRY,SELLER,ORIGIN PORT,UNIT,QUANTITY,VALUE(USD),UNIT PRICE,Seller Group,Buyer Group,Spare/Unit/Others,product,model,category,type,Manufacturer,YOM,Height (ft),Battery/Diesel,Imp Companies,Relevancy
2025/01/29,3700334677,84312090,Machinery and Mechanical Appliances,128518GT TAPE\WARNING\BLK/YEL\108 *** (PARTS OF SCISSOR LIFT),INDIA,TEREX INDIA PRIVATE LIMITED,MUNDRA (INMUN1),CHINA,TEREX CHANG ZHOU MACHINERY CO,SHANGHAI,PCS,50150,"1,068 ",0 ,,,Spare,AWP,,,UNKNOWN,NULL,,,,Imp,
2025/02/28,653832328,84312090,Machinery and Mechanical Appliances,128518GT TAPE\WARNING\BLK/YEL\108 *** (PARTS OF SCISSOR LIFT),INDIA,TEREX INDIA PRIVATE LIMITED,MUNDRA (INMUN1),CHINA,TEREX CHANGZHOU MACHINERY CO LT,SHANGHAI,PCS,27800,631 ,0 ,TEREX,,Spare,AWP,,,,,,,,Imp,
2025/02/11,653564043,84312090,Machinery and Mechanical Appliances,75640GT WIRE LOOM\3/4 DIA. (PARTS OF SCISSOR LIFT),INDIA,TEREX INDIA PRIVATE LIMITED,MUNDRA (INMUN1),CHINA,TEREX CHANGZHOU MACHINERY CO LT,SHANGHAI,PCS,23622,254 ,0 ,TEREX,,Spare,AWP,,,,,,,,Imp,
2025/01/29,3700334672,84312090,Machinery and Mechanical Appliances,1277924GT NUT\NYLOCK FLG\1/4-20\F\ZAG (PARTS OF SCISSOR LIFT),INDIA,TEREX INDIA PRIVATE LIMITED,MUNDRA (INMUN1),CHINA,TEREX CHANG ZHOU MACHINERY CO,SHANGHAI,PCS,18471,787 ,0 ,,,Spare,AWP,,,UNKNOWN,NULL,,,,Imp,
2025/02/28,653838232,84312090,Machinery and Mechanical Appliances,216276GT WIRE LOOM\ BLACK SPIRAL 1.10 (PARTS OF SCISSOR LIFT),INDIA,TEREX INDIA PRIVATE LIMITED,MUNDRA (INMUN1),CHINA,TEREX CHANGZHOU MACHINERY CO LT,SHANGHAI,PCS,15748,715 ,0 ,TEREX,,Spare,AWP,,,UNKNOWN,NULL,,,,Imp,
2025/01/29,3700340967,84312090,Machinery and Mechanical Appliances,28443GT CABLE TIE\ 11.5 BLACK (PARTS OF SCISSOR LIFT),INDIA,TEREX INDIA PRIVATE LIMITED,MUNDRA (INMUN1),CHINA,TEREX CHANG ZHOU MACHINERY CO,SHANGHAI,PCS,12100,258 ,0 ,,,Spare,AWP,,,,,,,,Imp,
2025/01/29,3700340966,84312090,Machinery and Mechanical Appliances,28131GT WIRE LOOM\1.25 DIA (PARTS OF SCISSOR LIFT),INDIA,TEREX INDIA PRIVATE LIMITED,MUNDRA (INMUN1),CHINA,TEREX CHANG ZHOU MACHINERY CO,SHANGHAI,PCS,8846,188 ,0 ,,,Spare,AWP,,,,,,,,Imp,
2025/01/29,3700341195,84312090,Machinery and Mechanical Appliances,824078GT SCREW\HHF\1/4-20X.75\8\ZAG (PARTS OF SCISSOR LIFT),INDIA,TEREX INDIA PRIVATE LIMITED,MUNDRA (INMUN1),CHINA,TEREX CHANG ZHOU MACHINERY CO,SHANGHAI,PCS,8120,346 ,0 ,,,Spare,AWP,,,,,,,,Imp,
2025/01/29,3700341372,84312090,Machinery and Mechanical Appliances,T113787GT RIVET\ALUM\STL\.188 X .250 (PARTS OF SCISSOR LIFT),INDIA,TEREX INDIA PRIVATE LIMITED,MUNDRA (INMUN1),CHINA,TEREX CHANG ZHOU MACHINERY CO,SHANGHAI,PCS,8040,599 ,0 ,TEREX,,Spare,AWP,,,,,,,,Imp,
2025/01/29,3700334669,84312090,Machinery and Mechanical Appliances,1274322GT NUT\NYLOCK FLG\3/8-16\F\ZAG (PARTS OF SCISSOR LIFT),INDIA,TEREX INDIA PRIVATE LIMITED,MUNDRA (INMUN1),CHINA,TEREX CHANG ZHOU MACHINERY CO,SHANGHAI,PCS,7551,563 ,0 ,,,Spare,AWP,,,,,,,,Imp,
