DATE,SHIPMENT ID,HS CODE,INDUSTRY,PRODUCT DESCRIPTION,BUYER COUNTRY,BUYER,DESTINATION PORT,SELLER COUNTRY,SELLER,ORIGIN PORT,UNIT,QUANTITY,VALUE(USD),UNIT PRICE,Seller Group,Buyer Group,SBU,Spare / Unit / Others,Product,Model,Category,Application,Manufacturer,Relevancy
28-08-2024,1042850949,84314990,Machinery and Mechanical Appliances,(PART NO: 332/W1660) GIUNTO ROTANTE 10 VIE 60 A-794-10 (PARTS OF EXCAVATOR),INDIA,JCB INDIA LIMITED,NHAVA SHEVA SEA (INNSA1),ITALY,ALA OFFICINE SPA,GENOA,NOS,80,"$18,836.97",$235.46,ALA OFFICINE SPA,JCB INDIA LIMITED,D&T,Unit,Rotary Union,10 VIE 60 A-794-10,New,Excavator,ALA OFFICINE SPA,Relevant
13-08-2024,1043712005,84314990,Machinery and Mechanical Appliances,(PART NO: 332/W1660) GIUNTO ROTANTE 10 VIE 60 A-794-10 (PARTS OF EXCAVATOR),INDIA,JCB INDIA LIMITED,NHAVA SHEVA SEA (INNSA1),ITALY,ALA OFFICINE SPA,GENOA,NOS,23,"$5,363.76",$233.21,ALA OFFICINE SPA,JCB INDIA LIMITED,D&T,Unit,Rotary Union,10VIE,New,Excavator,ALA OFFICINE SPA,Relevant
28-08-2024,1042850946,84314990,Machinery and Mechanical Appliances,(PART NO: 332/W1660) GIUNTO ROTANTE 10 VIE 60 A-794-10 (PARTS OF EXCAVATOR),INDIA,JCB INDIA LIMITED,NHAVA SHEVA SEA (INNSA1),ITALY,ALA OFFICINE SPA,GENOA,NOS,95,"$22,368.90",$235.46,ALA OFFICINE SPA,JCB INDIA LIMITED,D&T,Unit,Rotary Union,11 VIE 60 A-794-10,New,Excavator,ALA OFFICINE SPA,Relevant
28-08-2024,1042850945,84314990,Machinery and Mechanical Appliances,(PART NO: 332/W1660) GIUNTO ROTANTE 10 VIE 60 A-794-10 (PARTS OF EXCAVATOR),INDIA,JCB INDIA LIMITED,NHAVA SHEVA SEA (INNSA1),ITALY,ALA OFFICINE SPA,GENOA,NOS,20,"$4,709.24",$235.46,ALA OFFICINE SPA,JCB INDIA LIMITED,D&T,Unit,Rotary Union,12 VIE 60 A-794-10,New,Excavator,ALA OFFICINE SPA,Relevant
17-12-2024,6978966078,84314920,Machinery and Mechanical Appliances,1085610 GIUNTO ROTANTE 15 VIE 124 A-856-10(AS PER INV)CRANEPARTS1085610 GIUNTO ROTANTE 15 VIE 124 A-856-10(AS PER INV)CRANE,INDIA,TIL LIMITED,KOLKATA AIR CARGO (INCCU4),ITALY,ALA OFFICINE SPA,MILAN,NOS,7,"$11,375.53","$1,625.08",ALA OFFICINE SPA,TIL LIMITED,D&T,Unit,Rotary Union,15VIE124A-856-10,New,Crane,ALA OFFICINE SPA,Relevant
13-03-2025,4761925815,84314990,Machinery and Mechanical Appliances,(PART NO: 403/C8130) GIUNTO ROTANTE 5 VIE 100 A-1310-2 (PARTS OF EXCAVATOR)(PART NO: 403/C8130) GIUNTO ROTANTE 5 VIE 100 A-1310-2 (PA,INDIA,JC  INDIA LIMITED,NHAVA SHEVA SEA (INNSA1),ITALY,ALA OFFICINE SPA,GENOA,NOS,15,"$7,146.03",$476.40,ALA OFFICINE SPA,JCB INDIA LIMITED,D&T,Unit,Rotary Union,5VIE100A-1310-1,New,Excavator,ALA OFFICINE SPA,Relevant
13-03-2025,4761925815,84314990,Machinery and Mechanical Appliances,(PART NO: 403/C8130) GIUNTO ROTANTE 5 VIE 100 A-1310-2 (PARTS OF EXCAVATOR)(PART NO: 403/C8130) GIUNTO ROTANTE 5 VIE 100 A-1310-2 (PA,INDIA,JCB INDIA LIMITED,NHAVA SHEVA SEA (INNSA1),ITALY,ALA OFFICINE SPA,GENOA,NOS,15,"$7,146.03",$476.40,ALA OFFICINE SPA,JCB INDIA LIMITED,D&T,Unit,Rotary Union,5VIE100A-1310-2,New,Excavator,ALA OFFICINE SPA,Relevant
13-03-2025,4762428564,84314990,Machinery and Mechanical Appliances,403/C8130 GIUNTO ROTANTE 5 VIE 100 A-1310-2 (ROTARY JOINT)(PARTS FOR EXCAVATOR)403/C8130 GIUNTO ROTANTE 5 VIE 100 A-1310-2 (ROTARY JOINT),INDIA,JCB INDIA LIMITED,BOMBAY AIR CARGO (INBOM4),ITALY,ALA OFFICINE SPA,VERONA,NOS,3,"$1,740.80",$580.27,ALA OFFICINE SPA,JCB INDIA LIMITED,D&T,Unit,Rotary Union,5VIE100A-1310-2,New,Excavator,ALA OFFICINE SPA,Relevant
13-03-2025,6303473692,84314990,Machinery and Mechanical Appliances,403/C8130 GIUNTO ROTANTE 5 VIE 100 A-1310-2 (ROTARY JOINT)(PARTS FOR EXCAVATOR)403/C8130 GIUNTO ROTANTE 5 VIE 100 A-1310-2 (ROTARY JOINT),INDIA,JCB INDIA LIMITED,BOMBAY AIR CARGO (INBOM4),ITALY,ALA OFFICINE SPA,VERONA,NOS,3,"$1,740.80",$580.27,ALA OFFICINE SPA,JCB INDIA LIMITED,D&T,Unit,Rotary Union,5VIE100A-1310-2,New,Excavator,ALA OFFICINE SPA,Relevant
26-02-2025,0650697832,84314990,Machinery and Mechanical Appliances,(PART NO: 403/C8130) GIUNTO ROTANTE 5 VIE 100 A-1310-2 (PARTS OF EXCAVATOR)(PART NO: 403/C8130) GIUNTO ROTANTE 5 VIE 100 A-1310-2 (PA,INDIA,JCB INDIA LIMITED,NHAVA SHEVA SEA (INNSA1),ITALY,ALA OFFICINE SPA,GENOA,NOS,13,"$5,947.76",$457.52,ALA OFFICINE SPA,JCB INDIA LIMITED,D&T,Unit,Rotary Union,5VIE100A-1310-2,New,Excavator,ALA OFFICINE SPA,Relevant
