DATE,SHIPMENT ID,HS CODE,INDUSTRY,PRODUCT DESCRIPTION,BUYER COUNTRY,BUYER,DESTINATION PORT,SELLER COUNTRY,SELLER,ORIGIN PORT,UNIT,QUANTITY,VALUE(USD),UNIT PRICE
22-02-2025,0652365744,84669390,Machinery and Mechanical Appliances,ROTARY JOINT(LX76-234) SPARE PARTS WITH SEAL KIT,INDIA,RIX INDIA TRADING & SERVICE PRIVATE LIMITED,BOMBAY AIR CARGO (INBOM4),JAPAN,RIX CORP,TOKYO,NOS,25,"$3,177.01",$127.08
30-08-2024,1042616337,84879000,Machinery and Mechanical Appliances,(SPARE PARTS FOR CNC MACHINE FOR METAL WORKING) ROTARY UNION 9525002330,INDIA,JYOTI CNC AUTOMATION LIMITED,BOMBAY AIR CARGO (INBOM4),GERMANY,OTT JAKOB ,FRANKFURT AM MAIN,NOS,3,"$2,559.37",$853.12
30-08-2024,1042616336,84879000,Machinery and Mechanical Appliances,(SPARE PARTS FOR CNC MACHINE FOR METAL WORKING) ROTARY UNION 9526002652,INDIA,JYOTI CNC AUTOMATION LIMITED,BOMBAY AIR CARGO (INBOM4),GERMANY,OTT JAKOB ,FRANKFURT AM MAIN,NOS,2,"$1,948.70",$974.35
03-11-2025,4047415390,84879000,Machinery and Mechanical Appliances,PARTS OF ROTATING UNION SERVICE KIT .,INDIA,MACO CORPORATION INDIA PRIVATE LIMITED,KOLKATA AIR CARGO (INCCU4),UNITED STATES,DEUBLIN COMPANY 2050,CHICAGO,KGS,0.636,$431.21,$678.01
2/8/2025,1126114202,84849000,Machinery and Mechanical Appliances,SEAL(OR7208-15A-DIA13)FOR KJC ROTARY JOINT,INDIA,SILADITYA GANGULY,KOLKATA AIR CARGO (INCCU4),SOUTH KOREA,KWANGJIN INDUSTRIAL,BUSAN,NOS,4,$28.80,$7.20
16-12-2024,6977132352,40169390,Rubber,SEAL PACKING SET - FF-SE-1CA80BB310ABD-YGN CA-E1058877-E ROTARY JOINT AND OTHER PARTS,INDIA,RIX INDIA TRADING & SERVICE PRIVATE LIMITED,BOMBAY AIR CARGO (INBOM4),JAPAN,RIX CORP,FUKUOKA,NOS,2,$103.44,$51.72
16-12-2024,6977132632,40169390,Rubber,SEAL PACKING SET - FF-SE-1CA125BB280ABC-YGNJ CA-E1061814-E ROTARY JOINT AND OTHER PARTS,INDIA,RIX INDIA TRADING & SERVICE PRIVATE LIMITED,BOMBAY AIR CARGO (INBOM4),JAPAN,RIX CORP,FUKUOKA,NOS,1,$88.38,$88.39
16-12-2024,6977119653,40169390,Rubber,SEAL PACKING SET - FF-SE-1FA80AB100ABD-N FA-E1061841-E ROTARY JOINT AND OTHER PARTS,INDIA,RIX INDIA TRADING & SERVICE PRIVATE LIMITED,BOMBAY AIR CARGO (INBOM4),JAPAN,RIX CORP,FUKUOKA,NOS,1,$59.12,$59.13
16-12-2024,6977132633,40169390,Rubber,SEAL PACKING SET - FF-SE-1FA63CB30ABC-X FA-Q13236-E ROTARY JOINT AND OTHER PARTS,INDIA,RIX INDIA TRADING & SERVICE PRIVATE LIMITED,BOMBAY AIR CARGO (INBOM4),JAPAN,RIX CORP,FUKUOKA,NOS,2,$138.64,$69.32
16-12-2024,6977132634,40169390,Rubber,SEAL PACKING SET -FF-SE-1TC180BB300ABC-N TC-E1058855-E ROTARY JOINT AND OTHER PARTS,INDIA,RIX INDIA TRADING & SERVICE PRIVATE LIMITED,BOMBAY AIR CARGO (INBOM4),JAPAN,RIX CORP,FUKUOKA,NOS,2,$353.54,$176.77
