date,shipment_id,hs_code,industry,product_description,buyer_country,buyer,destination_port,seller_country,seller,origin_port,unit,quantity,value_usd,unit_price
18-11-2025,4704226845,84831099,Machinery and Mechanical Appliances,CARDANIC SHAFT (REFERENCE NUMBER 80000TDA415) - PARTS OF BLOWING MACHINERYCARDANIC SHAFT (REFERENCE NUMBER 80000TDA415) - PARTS OF BLO,INDIA,SIDEL INDIA PRIVATE LIMITED,BOMBAY AIR CARGO (INBOM4),FRANCE,SIDEL BLOWING AND SERVICES S A S,PARIS,PIECE,1,$505.83,$505.84
17-11-2025,4703413548,84835090,Machinery and Mechanical Appliances,CARDAN SHAFT S=1680 X=60 14H7/14H7+PN (MATERIAL NO. 3085014)(ITEM NO. 000300)CARDAN SHAFT S=1680 X=60 14H7/14H7+PN (MATERIAL NO. 3085014),INDIA,GOLD PLUS GLASS INDUSTRY LIMITED,DELHI AIR CARGO (INDEL4),GERMANY,GRENZEBACH MASCHINENBAU GMBH,LEIPZIG,PIECE,1,$619.21,$619.21
16-11-2025,4703482649,84831099,Machinery and Mechanical Appliances,(KGV180.1000.110.80) CARDAN SHAFT (PART OF RAILWAYS TRACK MAINTENANCE MACHINE)(PART OF RAILWAYS TRACK MAINTENANCE MACHINE),INDIA,PLASSER INDIA PRIVATE LIMITED,DELHI AIR CARGO (INDEL4),AUSTRIA,PLASSER AND THEURER,VIENNA,NOS,1,$973.51,$973.51
16-11-2025,4703480499,84831099,Machinery and Mechanical Appliances,(LZ420LA40/UD72.2719G-A) CARDAN SHAFT (PART OF RAILWAYS TRACK MAINTENANCE MACHINE)(PART OF RAILWAYS TRACK MAINTENANCE MACHINE),INDIA,PLASSER INDIA PRIVATE LIMITED,DELHI AIR CARGO (INDEL4),AUSTRIA,PLASSER AND THEURER,VIENNA,NOS,1,$700.58,$700.59
16-11-2025,4703446942,84831099,Machinery and Mechanical Appliances,(KGV180.1650.110.80) CARDAN SHAFT (PART OF RAILWAYS TRACK MAINTENANCE MACHINE)(PART OF RAILWAYS TRACK MAINTENANCE MACHINE),INDIA,PLASSER INDIA PRIVATE LIMITED,DELHI AIR CARGO (INDEL4),AUSTRIA,PLASSER AND THEURER,VIENNA,NOS,1,"$1,301.26","$1,301.26"
16-11-2025,4703369713,84831099,Machinery and Mechanical Appliances,(KGV180.1340.110.80) CARDAN SHAFT (PART OF RAILWAYS TRACK MAINTENANCE MACHINE)(PART OF RAILWAYS TRACK MAINTENANCE MACHINE),INDIA,PLASSER INDIA PRIVATE LIMITED,DELHI AIR CARGO (INDEL4),AUSTRIA,PLASSER AND THEURER,VIENNA,NOS,1,"$1,007.62","$1,007.63"
15-11-2025,4703014370,84831099,Machinery and Mechanical Appliances,COMPONENT OF SANY TRUCK CRANE STC800T5 CKD - 131301000069A-INTERMEDIATE CARDAN SHAFT\ STEERINGCOMPONENT OF SANY TRUCK CRANE STC800T5 CKD,INDIA,SANY HEAVY INDUSTRY INDIA PRIVATE LIMITED,NHAVA SHEVA SEA (INNSA1),HONG KONG,SANY INTERNATIONAL DEVELOPMENT LIMITED,DA CHAN BAY,PIECE,4,$56.53,$14.13
15-11-2025,4703168513,84831099,Machinery and Mechanical Appliances,COMPONENT OF SANY TRUCK CRANE STC800T5 CKD - 131301000069A-INTERMEDIATE CARDAN SHAFT\ STEERINGCOMPONENT OF SANY TRUCK CRANE STC800T5 CKD,INDIA,SANY HEAVY INDUSTRY INDIA PRIVATE LIMITED,NHAVA SHEVA SEA (INNSA1),HONG KONG,SANY INTERNATIONAL DEVELOPMENT LIMITED,CHANGSHA,PIECE,4,$56.53,$14.13
15-11-2025,4703086639,84831099,Machinery and Mechanical Appliances,COMPONENT OF SANY TRUCK CRANE STC800T5 CKD - 131301000069A-INTERMEDIATE CARDAN SHAFT\ STEERINGCOMPONENT OF SANY TRUCK CRANE STC800T5 CKD,INDIA,SANY HEAVY INDUSTRY INDIA PRIVATE LIMITED,NHAVA SHEVA SEA (INNSA1),HONG KONG,SANY INTERNATIONAL DEVELOPMENT LIMITED,DA CHAN BAY,PIECE,4,$56.53,$14.13
15-11-2025,4703114425,84836090,Machinery and Mechanical Appliances,Z-90 CARDAN SHAFT SWC225-250 (SEMI-FINISHED),INDIA,GREEN GEAR TRANSMISSION INDIA PRIVATE LIMITED,NHAVA SHEVA SEA (INNSA1),CHINA,TIMOTHY HOLDING CO. LTD,SHANGHAI,NOS,4,"$3,776.40",$944.10
