DATE,SHIPMENT ID,HS CODE,INDUSTRY,PRODUCT DESCRIPTION,BUYER COUNTRY,BUYER,DESTINATION PORT,SELLER COUNTRY,SELLER,ORIGIN PORT,UNIT,QUANTITY, VALUE(USD) , UNIT PRICE 
6/4/2023,7854752390,28051200,Chemicals,CALCIUM METAL GRANULES - SIZE 0.1-2MM,INDIA,JAMIPOL LIMITED,CHENNAI SEA (INMAA1),CHINA,LUCHENG RUI ZHAO YANG METALS CO.LTD,SHANGHAI,MTS,14.00," $ 43,407.68 "," $ 3,100.55 "
7/10/2022,9200746289,28051200,Chemicals,CALCIUM METAL GRANULES - SIZE 0.1-2MM ,INDIA,JAMIPOL LIMITED,CHENNAI SEA (INMAA1),CHINA,LUCHENG RUI ZHAO YANG METALS CO.LTD,SHANGHAI,MTS,23.80," $ 81,648.45 "," $ 3,430.61 "
7/4/2022,1125457781,28051200,Chemicals,CALCIUM METAL SIZE 0.1-2MM [CA (CALCIUM) 98.5 PCNT MINIMUM AL ((ALUMINIUM) 0.8 PCNT] ,INDIA,JAMIPOL LIMITED,CHENNAI SEA (INMAA1),CHINA,YANGQUAN SLS INTERNATIONAL TRADING,,MTS,14.00," $ 139,720.00 "," $ 9,980.00 "
11/3/2022,1457955315,28051200,Chemicals,CALCIUM METAL GRANULES - SIZE 0.1-2MM ,INDIA,JAMIPOL LIMITED,CHENNAI SEA (INMAA1),CHINA,LUCHENG RUI ZHAO YANG METALS CO.LTD,,MTS,28.00," $ 222,499.37 "," $ 7,946.41 "
4/1/2022,1548904469,28051200,Chemicals,CALCIUM METAL GRANULES - CA 98.58% (FOR INDUSTRY USE NOT FORDRUG OR COSMETICS.) ,INDIA,JAMIPOL LIMITED,KOLKATA SEA (INCCU1),CHINA,LUCHENG RUI ZHAO YANG METALS CO.LTD,,MTS,14.00," $ 148,647.49 "," $ 10,617.68 "
18/12/2021,1014178356,28051200,Chemicals,CALCIUM METAL GRANULES - CA 98.53% (FOR INDUSTRY USE NOT FORDRUG OR COSMETICS.) ,INDIA,JAMIPOL LIMITED,KOLKATA SEA (INCCU1),CHINA,AM NORTH AMERICA INTERNATIONAL LLC,,MTS,28.80," $ 296,692.50 "," $ 10,301.82 "
18/12/2021,1042539929,28051200,Chemicals,CALCIUM METAL GRANULES - CA 98.53% (FOR INDUSTRY USE NOT FORDRUG OR COSMETICS.) ,INDIA,JAMIPOL LIMITED,KOLKATA SEA (INCCU1),CHINA,AM NORTH AMERICA INTERNATIONAL LLC,,MTS,14.40," $ 148,346.25 "," $ 10,301.82 "
15/12/2021,1047572177,28051200,Chemicals,PURE CALCIUM EXTRUDED WIRE - SIZE 7.8MM ,INDIA,JAMIPOL LIMITED,CHENNAI SEA (INMAA1),CHINA,LUCHENG RUI ZHAO YANG METALS CO.LTD,,MTS,14.48," $ 152,211.74 "," $ 10,511.86 "
8/12/2021,1098189407,28051200,Chemicals,CALCIUM METAL GRANULES - SIZE 0.1-2MM ,INDIA,JAMIPOL LIMITED,CHENNAI SEA (INMAA1),CHINA,LUCHENG RUI ZHAO YANG METALS CO.LTD,,MTS,28.00," $ 285,510.52 "," $ 10,196.80 "
24/11/2021,1093323110,28051200,Chemicals,CALCIUM METAL GRANULES - SIZE 0.1-2MM ,INDIA,JAMIPOL LIMITED,CHENNAI SEA (INMAA1),CHINA,LUCHENG RUI ZHAO YANG METALS CO.LTD,,MTS,28.00," $ 285,510.53 "," $ 10,196.80 "
20/11/2021,1102373557,28051200,Chemicals,PURE CALCIUM EXTRUDED WIRE (CA 98.5% MIN) ,INDIA,JAMIPOL LIMITED,CHENNAI SEA (INMAA1),CHINA,LUCHENG RUI ZHAO YANG METALS CO.LTD,,MTS,28.91," $ 303,897.88 "," $ 10,511.86 "
18/11/2021,1064500645,28051200,Chemicals,CALCIUM METAL GRANULES - SIZE 0.1-2MM ,INDIA,JAMIPOL LIMITED,CHENNAI SEA (INMAA1),CHINA,LUCHENG RUI ZHAO YANG METALS CO.LTD,,MTS,28.00," $ 285,510.52 "," $ 10,196.80 "
29/10/2021,1298006555,28051200,Chemicals,CALCIUM WIRE - CA 98.59% (FOR INDUSTRY USE NOT FOR DRUG OR COSMETICS.) ,INDIA,JAMIPOL LIMITED,KOLKATA SEA (INCCU1),UNITED STATES,"CCMA, LLC",,MTS,28.72," $ 97,966.17 "," $ 3,410.60 "
16/10/2021,1489243689,28051200,Chemicals,CALCIUM METAL GRANULES ,INDIA,JAMIPOL LIMITED,CHENNAI SEA (INMAA1),CHINA,LUCHENG RUI ZHAO YANG METALS CO.LTD,,MTS,14.00," $ 70,152.41 "," $ 5,010.89 "
12/10/2021,1418033820,28051200,Chemicals,CALCIUM METAL GRANULES ,INDIA,JAMIPOL LIMITED,CHENNAI SEA (INMAA1),CHINA,LUCHENG RUI ZHAO YANG METALS CO.LTD,,MTS,14.00," $ 76,383.51 "," $ 5,455.97 "
29/9/2021,1594969351,28051200,Chemicals,PURE CALCIUM EXTRUDED WIRE ,INDIA,JAMIPOL LIMITED,CHENNAI SEA (INMAA1),CHINA,LUCHENG RUI ZHAO YANG METALS CO.LTD,,MTS,28.55," $ 148,771.83 "," $ 5,210.92 "
29/9/2021,1146128274,28051200,Chemicals,PURE CALCIUM EXTRUDED WIRE ,INDIA,JAMIPOL LIMITED,CHENNAI SEA (INMAA1),CHINA,LUCHENG RUI ZHAO YANG METALS CO.LTD,,MTS,14.29," $ 74,464.07 "," $ 5,210.92 "
24/9/2021,1242070587,28051200,Chemicals,PURE CALCIUM EXTRUDED WIRE - CA 98.63% (FOR INDUSTRY USE NOTFOR DRUG OR COSMETICS.) ,INDIA,JAMIPOL LIMITED,KOLKATA SEA (INCCU1),CHINA,LUCHENG RUI ZHAO YANG METALS CO.LTD,,MTS,28.46," $ 149,156.79 "," $ 5,240.93 "
