DATE,SHIPMENT ID,HS CODE,INDUSTRY,PRODUCT DESCRIPTION,BUYER COUNTRY,DESTINATION PORT,BUYER,SELLER COUNTRY,SELLER,ORIGIN PORT,UNIT, QUANTITY , VALUE(USD) , UNIT PRICE ,Seller Group,Buyer Group,Spare / Unit / Others,Product,Model,Category,Type,Manufacturer,Relevancy,Buyer_Type,Seller_Type
10-09-2021,1094305177,72051021,Iron and Steel,STEEL SHOT (TSP-70TA) (QTY-3 MTS) (USED IN SHOT PEENING PROCESS) ,INDIA,NHAVA SHEVA SEA (INNSA1),THE HI-TECH GEARS LIMITED,JAPAN,Winoa Group,,MTS,  3 ," $ 5,800 ", $ 1.93 ,,,,Steel Shot,Special Grade - TSP 70TA,Shots,High Carbon,,,End Customer,Manufacturer
12-04-2021,1107988891,72051021,Iron and Steel,STEEL SHOT (TSP-70TA) (USED IN SHORT PEENING PROCESS MACHINE)(QTY-2 MTS) ,INDIA,PATPARGANJ (INPPG6),THE HI-TECH GEARS LIMITED,JAPAN,Winoa Group,NAGOYA,MTS,  2 ," $ 3,922 ", $ 1.96 ,,,,Steel Shot,Special Grade - TSP 70TA,Shots,High Carbon,,,End Customer,Manufacturer
17-02-2021,1436383057,72051021,Iron and Steel,STEEL SHOT (TSP-70TA) (USED IN SHORT PEENING PROCESS MACHINE)(QTY-3 MTS),INDIA,PATPARGANJ (INPPG6),THE HI-TECH GEARS LIMITED,JAPAN,Winoa Group,NAGOYA,MTS,  3 ," $ 5,050 ", $ 1.68 ,,,,Steel Shot,Special Grade - TSP 70TA,Shots,High Carbon,,,End Customer,Manufacturer
14-02-2022,1238032709,72051021,Iron and Steel,STEEL SHOT (TSP-70TA) (USED IN SHORT PEENING PROCESS MACHINE)(QTY-3.0 MTS) ,INDIA,NHAVA SHEVA SEA (INNSA1),THE HI-TECH GEARS LIMITED,JAPAN,Winoa Group,,MTS,  3 ," $ 6,704 ", $ 2.23 ,,,,Steel Shot,Special Grade - TSP 70TA,Shots,High Carbon,,,End Customer,Manufacturer
10-02-2020,100220207309650,72051019,Iron and Steel,STEEL SHOT (TSP-70TA) (USED IN SHOT PEENING PROCESS MACHINE)(QTY-1 MTS) ,INDIA,DELHI AIR CARGO (INDEL4),THE HI-TECH GEARS LIMITED,JAPAN,Winoa Group,TOKYO,MTS,  1 ," $ 2,055 ", $ 2.06 ,,,,Steel Shot,Special Grade - TSP 70TA,Shots,High Carbon,,,End Customer,Manufacturer
07-05-2020,0705202014213214,72051019,Iron and Steel,STEEL SHOT (TSP-70TA) (USED IN SHOT PEENING PROCESS MACHINE)(QTY-5 MTS) ,INDIA,PATPARGANJ (INPPG6),THE HI-TECH GEARS LIMITED,JAPAN,Winoa Group,NAGOYA,MTS,  5 ," $ 7,932 ", $ 1.59 ,,,,Steel Shot,Special Grade - TSP 70TA,Shots,High Carbon,,,End Customer,Manufacturer
07-05-2020,0705202014213122,72051019,Iron and Steel,STEEL SHOT (TSP-70TA) (USED IN SHOT PEENING PROCESS MACHINE)(QTY-9 MTS) ,INDIA,PATPARGANJ (INPPG6),THE HI-TECH GEARS LIMITED,JAPAN,Winoa Group,NAGOYA,MTS,  9 ," $ 14,279 ", $ 1.59 ,,,,Steel Shot,Special Grade - TSP 70TA,Shots,High Carbon,,,End Customer,Manufacturer
28-08-2021,1191609436,72051021,Iron and Steel,STEEL SHOT (TSP-70TA)(QTY-3 MTS)(USED IN SHOT PEENING PROCESS MACHINE) ,INDIA,NHAVA SHEVA SEA (INNSA1),THE HI-TECH GEARS LIMITED,JAPAN,Winoa Group,NAGOYA,MTS,  3 ," $ 5,800 ", $ 1.93 ,,,,Steel Shot,Special Grade - TSP 70TA,Shots,High Carbon,,,End Customer,Manufacturer
07-07-2021,1189722350,72051021,Iron and Steel,STEEL SHOT (TSP-70TA)(QTY-4 MTS)(USED IN SHOT PEENING PROCESS MACHINE) ,INDIA,NHAVA SHEVA SEA (INNSA1),THE HI-TECH GEARS LIMITED,JAPAN,Winoa Group,NAGOYA,MTS,  4 ," $ 6,145 ", $ 1.54 ,,,,Steel Shot,Special Grade - TSP 70TA,Shots,High Carbon,,,End Customer,Manufacturer
07-08-2021,1079946682,72051021,Iron and Steel,STEEL SHOT (TSP-70TA)(QTY-4 MTS)(USED IN SHOT PEENING PROCESS MACHINE) ,INDIA,NHAVA SHEVA SEA (INNSA1),THE HI-TECH GEARS LIMITED,JAPAN,Winoa Group,NAGOYA,MTS,  4 ," $ 7,336 ", $ 1.83 ,,,,Steel Shot,Special Grade - TSP 70TA,Shots,High Carbon,,,End Customer,Manufacturer
25-05-2021,1154170009,72051021,Iron and Steel,STEEL SHOT (TSP-70TA)(USED IN SHORT PEENING PROCESS MACHINE)(QTY-5 MTS) ,INDIA,NHAVA SHEVA SEA (INNSA1),THE HI-TECH GEARS LIMITED,JAPAN,Winoa Group,NAGOYA,MTS,  5 ," $ 9,064 ", $ 1.81 ,,,,Steel Shot,Special Grade - TSP 70TA,Shots,High Carbon,,,End Customer,Manufacturer
