DATE,SHIPMENT ID,HS CODE,INDUSTRY,PRODUCT DESCRIPTION,BUYER COUNTRY,BUYER,DESTINATION PORT,SELLER COUNTRY,SELLER,ORIGIN PORT,UNIT,QUANTITY, VALUE(USD) , UNIT PRICE 
12-12-2023,0831894166,72051021,Iron and Steel,(00000042) (STEEL SHOT &STEEL GRIT),INDIA,WINOA ABRASIVES INDIA PRIVATE LIMITED,BANGALORE ICD (INWFD6),FRANCE,WINOA S.A,FOS-SUR-MER,KGS,"3,000"," $ 2,337.39 ", $ 0.78 
12-12-2023,0831894165,72051021,Iron and Steel,(00000260) (STEEL SHOT &STEEL GRIT),INDIA,WINOA ABRASIVES INDIA PRIVATE LIMITED,BANGALORE ICD (INWFD6),FRANCE,WINOA S.A,FOS-SUR-MER,KGS,"3,000"," $ 2,337.39 ", $ 0.78 
12-12-2023,0831894167,72051021,Iron and Steel,(00000291) (STEEL SHOT &STEEL GRIT),INDIA,WINOA ABRASIVES INDIA PRIVATE LIMITED,BANGALORE ICD (INWFD6),FRANCE,WINOA S.A,FOS-SUR-MER,KGS,"3,000"," $ 2,337.39 ", $ 0.78 
18-06-2024,0449585733,72051021,Iron and Steel,(00000291) (STEEL SHOT &STEEL GRIT),INDIA,WINOA ABRASIVES INDIA PRIVATE LIMITED,BANGALORE ICD (INWFD6),FRANCE,WINOA S.A,FOS-SUR-MER,KGS,"3,000"," $ 2,421.46 ", $ 0.81 
18-06-2024,0449585632,72051021,Iron and Steel,(00000291) (STEEL SHOT &STEEL GRIT),INDIA,WINOA ABRASIVES INDIA PRIVATE LIMITED,BANGALORE ICD (INWFD6),FRANCE,WINOA S.A,FOS-SUR-MER,KGS,"6,000"," $ 4,842.93 ", $ 0.81 
01-07-2024,1101789167,72051021,Iron and Steel,(00000291) (STEEL SHOT &STEEL GRIT),INDIA,WINOA ABRASIVES INDIA PRIVATE LIMITED,BANGALORE ICD (INWFD6),FRANCE,WINOA S.A,FOS-SUR-MER,KGS,"3,000"," $ 2,380.25 ", $ 0.79 
27-07-2024,1101081645,72051021,Iron and Steel,(00000291) (STEEL SHOT &STEEL GRIT),INDIA,WINOA ABRASIVES INDIA PRIVATE LIMITED,BANGALORE ICD (INWFD6),FRANCE,WINOA S.A,FOS-SUR-MER,KGS,"6,000"," $ 4,740.19 ", $ 0.79 
27-08-2024,1046114608,72051021,Iron and Steel,(00000291) (STEEL SHOT &STEEL GRIT),INDIA,WINOA ABRASIVES INDIA PRIVATE LIMITED,BANGALORE ICD (INWFD6),FRANCE,WINOA S.A,FOS-SUR-MER,KGS,"10,500"," $ 8,385.11 ", $ 0.80 
13-05-2024,3976068482,72051021,Iron and Steel,(00000774)(STEEL SHOT & STEEL GRIT),INDIA,WINOA ABRASIVES INDIA PRIVATE LIMITED,PATLI ICD (INPTL6),FRANCE,WINOA S.A,FOS-SUR-MER,KGS,"9,000"," $ 7,291.86 ", $ 0.81 
13-06-2024,0450169885,72051021,Iron and Steel,(00000774)(STEEL SHOT & STEEL GRIT),INDIA,WINOA ABRASIVES INDIA PRIVATE LIMITED,PATLI ICD (INPTL6),FRANCE,WINOA S.A,FOS-SUR-MER,KGS,"6,000"," $ 4,842.93 ", $ 0.81 
13-06-2024,0450169862,72051021,Iron and Steel,(00000774)(STEEL SHOT & STEEL GRIT),INDIA,WINOA ABRASIVES INDIA PRIVATE LIMITED,PATLI ICD (INPTL6),FRANCE,WINOA S.A,FOS-SUR-MER,KGS,"9,000"," $ 7,264.39 ", $ 0.81 
25-06-2024,0450172557,72051021,Iron and Steel,(00000774)(STEEL SHOT & STEEL GRIT),INDIA,WINOA ABRASIVES INDIA PRIVATE LIMITED,PATLI ICD (INPTL6),FRANCE,WINOA S.A,FOS-SUR-MER,KGS,"6,000"," $ 4,777.45 ", $ 0.80 
01-07-2024,1100928505,72051021,Iron and Steel,(00000774)(STEEL SHOT & STEEL GRIT),INDIA,WINOA ABRASIVES INDIA PRIVATE LIMITED,PATLI ICD (INPTL6),FRANCE,WINOA S.A,FOS-SUR-MER,KGS,"9,000"," $ 6,995.23 ", $ 0.78 
08-07-2024,1100930140,72051021,Iron and Steel,(00000774)(STEEL SHOT & STEEL GRIT),INDIA,WINOA ABRASIVES INDIA PRIVATE LIMITED,PATLI ICD (INPTL6),FRANCE,WINOA S.A,FOS-SUR-MER,KGS,"6,000"," $ 4,691.61 ", $ 0.78 
17-07-2024,1100932907,72051021,Iron and Steel,(00000774)(STEEL SHOT & STEEL GRIT),INDIA,WINOA ABRASIVES INDIA PRIVATE LIMITED,PATLI ICD (INPTL6),FRANCE,WINOA S.A,FOS-SUR-MER,KGS,"9,000"," $ 7,037.42 ", $ 0.78 
19-09-2024,7993994475,72051021,Iron and Steel,(00000774)(STEEL SHOT & STEEL GRIT),INDIA,WINOA ABRASIVES INDIA PRIVATE LIMITED,PATLI ICD (INPTL6),FRANCE,WINOA S.A,FOS-SUR-MER,KGS,"4,500"," $ 3,635.99 ", $ 0.81 
17-04-2025,0235854874,72051021,Iron and Steel,(00000774)(STEEL SHOT & STEEL GRIT),INDIA,WINOA ABRASIVES INDIA PRIVATE LIMITED,PATLI ICD (INPTL6),FRANCE,WINOA S.A,FOS-SUR-MER,KGS,"7,500"," $ 5,710.12 ", $ 0.76 
29-05-2024,3973386624,72051021,Iron and Steel,(00000774)(STEEL SHOT &STEEL GRIT),INDIA,WINOA ABRASIVES INDIA PRIVATE LIMITED,NHAVA SHEVA SEA (INNSA1),FRANCE,WINOA S.A,FOS-SUR-MER,KGS,"3,000"," $ 2,421.34 ", $ 0.81 
15-06-2024,0446871227,72051021,Iron and Steel,(00000774)(STEEL SHOT &STEEL GRIT),INDIA,WINOA ABRASIVES INDIA PRIVATE LIMITED,NHAVA SHEVA SEA (INNSA1),FRANCE,WINOA S.A,FOS-SUR-MER,KGS,"9,000"," $ 7,116.34 ", $ 0.79 
06-06-2024,0447688440,72051021,Iron and Steel,(00000817)STEEL SHOT & STEEL GRITS,INDIA,WINOA ABRASIVES INDIA PRIVATE LIMITED,NHAVA SHEVA SEA (INNSA1),FRANCE,WINOA S.A,FOS-SUR-MER,KGS,"6,000"," $ 4,842.67 ", $ 0.81 
20-02-2025,0651050281,72051021,Iron and Steel,(00000842)STEEL SHOT & STEEL GRIT,INDIA,WINOA ABRASIVES INDIA PRIVATE LIMITED,NHAVA SHEVA SEA (INNSA1),FRANCE,WINOA S.A,FOS-SUR-MER,KGS,"3,000"," $ 2,123.26 ", $ 0.71 
10-03-2025,6305626340,72051021,Iron and Steel,(00000842)STEEL SHOT & STEEL GRIT,INDIA,WINOA ABRASIVES INDIA PRIVATE LIMITED,NHAVA SHEVA SEA (INNSA1),FRANCE,WINOA GROUP,FOS-SUR-MER,KGS,"27,000"," $ 19,461.89 ", $ 0.72 
13-07-2024,1098302240,72051021,Iron and Steel,(00001094)(STEEL SHOT & STEEL GRIT),INDIA,WINOA ABRASIVES INDIA PRIVATE LIMITED,NHAVA SHEVA SEA (INNSA1),FRANCE,WINOA S.A,FOS-SUR-MER,KGS,"2,000"," $ 7,524.36 ", $ 3.76 
12-12-2023,0831894164,72051021,Iron and Steel,(00007499) (STEEL SHOT &STEEL GRIT),INDIA,WINOA ABRASIVES INDIA PRIVATE LIMITED,BANGALORE ICD (INWFD6),FRANCE,WINOA S.A,FOS-SUR-MER,KGS,"18,000"," $ 14,024.33 ", $ 0.78 
02-04-2024,2778354486,72051021,Iron and Steel,(00007499) (STEEL SHOT &STEEL GRIT),INDIA,WINOA ABRASIVES INDIA PRIVATE LIMITED,BANGALORE ICD (INWFD6),FRANCE,WINOA S.A,FOS-SUR-MER,KGS,"9,000"," $ 7,016.78 ", $ 0.78 
02-04-2024,2778354485,72051021,Iron and Steel,(00007499) (STEEL SHOT &STEEL GRIT),INDIA,WINOA ABRASIVES INDIA PRIVATE LIMITED,BANGALORE ICD (INWFD6),FRANCE,WINOA S.A,FOS-SUR-MER,KGS,"9,000"," $ 7,016.78 ", $ 0.78 
27-04-2024,2777410110,72051021,Iron and Steel,(00007499) (STEEL SHOT &STEEL GRIT),INDIA,WINOA ABRASIVES INDIA PRIVATE LIMITED,BANGALORE ICD (INWFD6),FRANCE,WINOA S.A,FOS-SUR-MER,KGS,"9,000"," $ 7,103.01 ", $ 0.79 
